,id,total_mins_played
154,203136,72.0
241,203138,1776.0
426,203141,892.0
262,203142,828.0
165,203143,1197.0
411,203144,767.0
121,203145,1324.0
389,203148,1330.0
242,203156,1399.0
328,203200,657.0
437,203268,174.0
227,203382,1122.0
35,203457,2311.0
156,203458,1518.0
134,203459,683.0
279,203460,1286.0
301,203461,894.0
393,203462,535.0
347,203463,2670.0
315,203468,973.0
360,203469,1487.0
161,203471,1516.0
168,203473,845.0
309,203475,410.0
180,203476,2193.0
92,203477,938.0
345,203481,259.0
83,203482,1424.0
280,203484,2587.0
452,203485,549.0
6,203486,1743.0
110,203487,2150.0
326,203488,502.0
402,203489,247.0
376,203492,1436.0
327,203493,338.0
472,203495,244.0
221,203496,1956.0
198,203497,2158.0
358,203498,866.0
73,203499,1865.0
234,203500,1771.0
72,203501,1681.0
211,203503,1412.0
108,203504,2288.0
86,203506,2573.0
232,203507,2541.0
247,203508,555.0
429,203511,51.0
459,203512,23.0
84,203515,600.0
88,203521,1380.0
33,203524,2381.0
209,203527,1233.0
339,203530,268.0
405,203539,43.0
419,203540,209.0
267,203544,1037.0
468,203545,23.0
428,203546,192.0
116,203561,423.0
446,203564,6.0
466,203565,29.0
65,203584,397.0
394,203798,687.0
440,203805,69.0
317,203893,65.0
147,203894,1012.0
64,203897,1902.0
386,203898,411.0
2,203900,781.0
97,203901,2489.0
276,203903,1476.0
457,203906,208.0
243,203909,1352.0
433,203910,262.0
106,203914,719.0
27,203915,455.0
387,203917,1127.0
240,203918,1064.0
337,203919,248.0
333,203921,647.0
13,203923,332.0
36,203924,1377.0
313,203925,493.0
396,203926,321.0
275,203928,531.0
401,203932,797.0
12,203935,1808.0
414,203937,358.0
441,203939,236.0
442,203940,740.0
439,203943,259.0
471,203944,14.0
453,203945,14.0
444,203946,64.0
462,203949,137.0
403,203950,126.0
179,203952,2969.0
329,203953,738.0
217,203956,485.0
107,203957,1817.0
467,203958,22.0
37,203960,1131.0
470,203961,2.0
31,203963,108.0
420,203991,90.0
48,203994,1103.0
469,203998,23.0
69,204014,1047.0
407,204020,603.0
34,204025,240.0
373,204028,1195.0
76,204037,672.0
55,204038,1457.0
465,204054,75.0
330,204060,1673.0
454,204079,71.0
